id	hit_freq	conf_freq	approve_freq	fixed_freq	object_freq	grat_freq	pray_freq	preserve_freq	presupp_freq	resign_freq	travel_freq	trade_freq	health_freq	politics_freq	social_freq	connection	sender	addressee	pair	year	decennium	quinquennial	sender_birth	addressee_birth_date	sender_generation	addressee_generation	sender_is_older	sender_over_40	addressee_over_40	age_gap_over_20	age_gap	gender_sender	gender_addressee	gender_pair
68	1.69	0.00	3.46	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.46	0.00	0.00	0.00	FAMILY	SAMUEL JEAKE JR	CHRISTOPHER BLACKWOOD JR	"SAMUEL JEAKE JR", "CHRISTOPHER BLACKWOOD JR"	1678	1670-1679	1675-1679	1652	1650	1640-1680	1640-1680	FALSE	FALSE	FALSE	FALSE	2	MALE	MALE	MALE-MALE
69	0.00	0.00	0.00	0.00	0.00	6.88	0.00	0.00	0.00	0.00	0.00	0.00	6.88	0.00	0.00	EXTENDED FAMILY	JOHN MACKLEY	SAMUEL JEAKE JR	"JOHN MACKLEY", "SAMUEL JEAKE JR"	1678	1670-1679	1675-1679	UNK	1652	1640-1680	1640-1680	UNK	FALSE	FALSE	UNK		MALE	MALE	MALE-MALE
70	1.69	0.00	1.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.73	0.00	0.00	0.00	FAMILY	SAMUEL JEAKE JR	CHRISTOPHER BLACKWOOD JR	"SAMUEL JEAKE JR", "CHRISTOPHER BLACKWOOD JR"	1678	1670-1679	1675-1679	1652	1650	1640-1680	1640-1680	FALSE	FALSE	FALSE	FALSE	2	MALE	MALE	MALE-MALE
71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	FAMILY	CHRISTOPHER BLACKWOOD JR	SAMUEL JEAKE JR	"CHRISTOPHER BLACKWOOD JR", "SAMUEL JEAKE JR"	1678	1670-1679	1675-1679	1650	1652	1640-1680	1640-1680	TRUE	FALSE	FALSE	FALSE	2	MALE	MALE	MALE-MALE
72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	FAMILY	SAMUEL JEAKE JR	CHRISTOPHER BLACKWOOD JR	"SAMUEL JEAKE JR", "CHRISTOPHER BLACKWOOD JR"	1678	1670-1679	1675-1679	1652	1650	1640-1680	1640-1680	FALSE	FALSE	FALSE	FALSE	2	MALE	MALE	MALE-MALE
73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	EXTENDED FAMILY	JOHN MACKLEY	SAMUEL JEAKE JR	"JOHN MACKLEY", "SAMUEL JEAKE JR"	1678	1670-1679	1675-1679	UNK	1652	1640-1680	1640-1680	UNK	FALSE	FALSE	UNK		MALE	MALE	MALE-MALE
74	20.59	0.00	0.00	0.00	0.00	0.00	6.88	0.00	13.75	6.88	0.00	0.00	0.00	0.00	6.88	EXTENDED FAMILY	ELIZABETH DIGHTON	SAMUEL JEAKE JR	"ELIZABETH DIGHTON", "SAMUEL JEAKE JR"	1678	1670-1679	1675-1679	1623	1652	1600-1640	1640-1680	TRUE	TRUE	FALSE	TRUE	29	FEMALE	MALE	FEMALE-MALE
75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	EXTENDED FAMILY	JOHN MACKLEY	SAMUEL JEAKE JR	"JOHN MACKLEY", "SAMUEL JEAKE JR"	1678	1670-1679	1675-1679	UNK	1652	1640-1680	1640-1680	UNK	FALSE	FALSE	UNK		MALE	MALE	MALE-MALE
76	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	EXTENDED FAMILY	JOHN MACKLEY	SAMUEL JEAKE JR	"JOHN MACKLEY", "SAMUEL JEAKE JR"	1678	1670-1679	1675-1679	UNK	1652	1640-1680	1640-1680	UNK	FALSE	FALSE	UNK		MALE	MALE	MALE-MALE
77	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	EXTENDED FAMILY	JOHN MACKLEY	SAMUEL JEAKE JR	"JOHN MACKLEY", "SAMUEL JEAKE JR"	1678	1670-1679	1675-1679	UNK	1652	1640-1680	1640-1680	UNK	FALSE	FALSE	UNK		MALE	MALE	MALE-MALE
