id	hit_freq	conf_freq	appr_freq	fixed_freq	object_freq	grat_freq	pray_freq	preserve_freq	presupp_freq	resignate_freq	trave_freq	trade_freq	health_freq	politics_freq	social_freq	pair	sender_over_40	addressee_over_40	sender_is_older	age_gap_over_20	gender_pair	connection
94	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"JOHN MACKLEY", "SAMUEL JEAKE JR"	FALSE	FALSE	UNK	UNK	MALE-MALE	EXTENDED FAMILY
95	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"JOHN MACKLEY", "SAMUEL JEAKE JR"	FALSE	FALSE	UNK	UNK	MALE-MALE	EXTENDED FAMILY
97	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"JOHN MACKLEY", "SAMUEL JEAKE JR"	UNK	FALSE	UNK	UNK	MALE-MALE	EXTENDED FAMILY
101	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"JOHN MACKLEY", "SAMUEL JEAKE JR"	UNK	FALSE	UNK	UNK	MALE-MALE	EXTENDED FAMILY
102	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"JOHN MACKLEY", "SAMUEL JEAKE JR"	UNK	FALSE	UNK	UNK	MALE-MALE	EXTENDED FAMILY
104	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"JOHN MACKLEY", "SAMUEL JEAKE JR"	UNK	FALSE	UNK	UNK	MALE-MALE	EXTENDED FAMILY
108	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"JOHN MACKLEY", "SAMUEL JEAKE JR"	UNK	FALSE	UNK	UNK	MALE-MALE	EXTENDED FAMILY
113	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"JOHN MACKLEY", "SAMUEL JEAKE JR"	UNK	FALSE	UNK	UNK	MALE-MALE	EXTENDED FAMILY
114	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"JOHN MACKLEY", "SAMUEL JEAKE JR"	UNK	FALSE	UNK	UNK	MALE-MALE	EXTENDED FAMILY
123	17.90	0.00	0.00	0.00	0.00	0.00	17.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	17.90	"JOHN MACKLEY", "SAMUEL JEAKE JR"	UNK	FALSE	UNK	UNK	MALE-MALE	EXTENDED FAMILY
125	17.90	0.00	0.00	0.00	0.00	17.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	17.90	"JOHN MACKLEY", "SAMUEL JEAKE JR"	UNK	FALSE	UNK	UNK	MALE-MALE	EXTENDED FAMILY
129	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"JOHN MACKLEY", "SAMUEL JEAKE JR"	UNK	FALSE	UNK	UNK	MALE-MALE	EXTENDED FAMILY
139	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"JOHN MACKLEY", "SAMUEL JEAKE JR"	UNK	FALSE	UNK	UNK	MALE-MALE	EXTENDED FAMILY
192	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"JOHN MACKLEY", "SAMUEL JEAKE JR"	UNK	FALSE	FALSE	UNK	MALE-MALE	EXTENDED FAMILY
